(2,16,11),0
(2,16,30),0
(2,16,47),0
(11,16,30),1
(11,16,47),1
(30,16,47),2
(57,23,3),4
(57,23,5),4
(57,23,53),4
(3,23,5),5
(3,23,53),5
(5,23,53),6
(26,57,11),8
(26,57,21),8
(11,57,21),9
(48,26,10),11
(48,26,19),11
(48,26,63),11
(10,26,19),12
(10,26,63),12
(19,26,63),13
(34,33,19),15
(34,33,36),15
(34,33,22),15
(19,33,36),16
(19,33,22),16
(36,33,22),17
(11,9,34),19
(11,9,19),19
(11,9,20),19
(11,9,39),19
(34,9,19),20
(34,9,20),20
(34,9,39),20
(19,9,20),21
(19,9,39),21
(20,9,39),22
(8,12,49),24
(8,12,20),24
(8,12,54),24
(8,12,15),24
(49,12,20),25
(49,12,54),25
(49,12,15),25
(20,12,54),26
(20,12,15),26
(54,12,15),27
(59,15,3),29
(59,15,45),29
(59,15,14),29
(3,15,45),30
(3,15,14),30
(45,15,14),31
(0,32,17),33
(0,32,35),33
(0,32,36),33
(0,32,31),33
(17,32,35),34
(17,32,36),34
(17,32,31),34
(35,32,36),35
(35,32,31),35
(36,32,31),36
(5,35,42),38
(5,35,13),38
(5,35,18),38
(5,35,60),38
(42,35,13),39
(42,35,18),39
(42,35,60),39
(13,35,18),40
(13,35,60),40
(18,35,60),41
(34,5,6),43
(34,5,39),43
(34,5,47),43
(34,5,27),43
(6,5,39),44
(6,5,47),44
(6,5,27),44
(39,5,47),45
(39,5,27),45
(47,5,27),46
(42,39,18),48
(42,39,21),48
(42,39,27),48
(18,39,21),49
(18,39,27),49
(21,39,27),50
(43,48,40),52
(43,48,11),52
(43,48,51),52
(43,48,27),52
(40,48,11),53
(40,48,51),53
(40,48,27),53
(11,48,51),54
(11,48,27),54
(51,48,27),55
(36,4,38),57
(36,4,43),57
(36,4,44),57
(36,4,14),57
(36,4,58),57
(38,4,43),58
(38,4,44),58
(38,4,14),58
(38,4,58),58
(43,4,44),59
(43,4,14),59
(43,4,58),59
(44,4,14),60
(44,4,58),60
(14,4,58),61
(1,8,37),63
(1,8,38),63
(1,8,21),63
(1,8,60),63
(1,8,30),63
(37,8,38),64
(37,8,21),64
(37,8,60),64
(37,8,30),64
(38,8,21),65
(38,8,60),65
(38,8,30),65
(21,8,60),66
(21,8,30),66
(60,8,30),67
(2,1,40),69
(2,1,11),69
(2,1,13),69
(2,1,56),69
(2,1,24),69
(40,1,11),70
(40,1,13),70
(40,1,56),70
(40,1,24),70
(11,1,13),71
(11,1,56),71
(11,1,24),71
(13,1,56),72
(13,1,24),72
(56,1,24),73
(37,56,7),75
(37,56,43),75
(37,56,17),75
(37,56,61),75
(7,56,43),76
(7,56,17),76
(7,56,61),76
(43,56,17),77
(43,56,61),77
(17,56,61),78
(34,37,13),80
(34,37,46),80
(34,37,50),80
(34,37,22),80
(13,37,46),81
(13,37,50),81
(13,37,22),81
(46,37,50),82
(46,37,22),82
(50,37,22),83
(34,46,3),85
(34,46,54),85
(34,46,59),85
(34,46,61),85
(3,46,54),86
(3,46,59),86
(3,46,61),86
(54,46,59),87
(54,46,61),87
(59,46,61),88
(61,34,17),90
(61,34,14),90
(61,34,29),90
(61,34,53),90
(17,34,14),91
(17,34,29),91
(17,34,53),91
(14,34,29),92
(14,34,53),92
(29,34,53),93
(36,17,2),95
(36,17,14),95
(36,17,52),95
(36,17,60),95
(2,17,14),96
(2,17,52),96
(2,17,60),96
(14,17,52),97
(14,17,60),97
(52,17,60),98
(10,52,43),100
(10,52,51),100
(10,52,58),100
(10,52,27),100
(43,52,51),101
(43,52,58),101
(43,52,27),101
(51,52,58),102
(51,52,27),102
(58,52,27),103
(30,10,53),105
(30,10,29),105
(30,10,62),105
(30,10,63),105
(53,10,29),106
(53,10,62),106
(53,10,63),106
(29,10,62),107
(29,10,63),107
(62,10,63),108
(36,30,6),110
(36,30,43),110
(36,30,47),110
(36,30,60),110
(6,30,43),111
(6,30,47),111
(6,30,60),111
(43,30,47),112
(43,30,60),112
(47,30,60),113
(19,43,22),115
(19,43,59),115
(19,43,62),115
(22,43,59),116
(22,43,62),116
(59,43,62),117
(36,59,38),119
(36,59,13),119
(36,59,25),119
(38,59,13),120
(38,59,25),120
(13,59,25),121
(2,60,45),123
(2,60,18),123
(2,60,31),123
(45,60,18),124
(45,60,31),124
(18,60,31),125
(50,62,24),127
(50,62,61),127
(50,62,31),127
(24,62,61),128
(24,62,31),128
(61,62,31),129
(13,19,49),131
(13,19,51),131
(13,19,27),131
(13,19,58),131
(49,19,51),132
(49,19,27),132
(49,19,58),132
(51,19,27),133
(51,19,58),133
(27,19,58),134
(0,13,6),136
(0,13,18),136
(0,13,54),136
(0,13,25),136
(6,13,18),137
(6,13,54),137
(6,13,25),137
(18,13,54),138
(18,13,25),138
(54,13,25),139
(0,54,36),141
(0,54,45),141
(0,54,53),141
(36,54,45),142
(36,54,53),142
(45,54,53),143
(41,45,44),145
(41,45,61),145
(41,45,31),145
(44,45,61),146
(44,45,31),146
(61,45,31),147
(2,6,14),149
(2,6,20),149
(2,6,55),149
(2,6,63),149
(14,6,20),150
(14,6,55),150
(14,6,63),150
(20,6,55),151
(20,6,63),151
(55,6,63),152
(28,18,44),154
(28,18,22),154
(28,18,41),154
(28,18,24),154
(44,18,22),155
(44,18,41),155
(44,18,24),155
(22,18,41),156
(22,18,24),156
(41,18,24),157
(2,22,36),159
(2,22,11),159
(2,22,51),159
(36,22,11),160
(36,22,51),160
(11,22,51),161
(0,24,2),163
(0,24,3),163
(0,24,11),163
(2,24,3),164
(2,24,11),164
(3,24,11),165
(49,11,51),167
(49,11,28),167
(49,11,61),167
(51,11,28),168
(51,11,61),168
(28,11,61),169
(7,36,42),171
(7,36,47),171
(7,36,31),171
(42,36,47),172
(42,36,31),172
(47,36,31),173
(38,49,7),175
(38,49,40),175
(38,49,14),175
(7,49,40),176
(7,49,14),176
(40,49,14),177
(42,38,50),179
(42,38,55),179
(42,38,25),179
(50,38,55),180
(50,38,25),180
(55,38,25),181
(61,42,50),183
(61,42,20),183
(61,42,29),183
(50,42,20),184
(50,42,29),184
(20,42,29),185
(7,0,14),187
(7,0,53),187
(7,0,25),187
(7,0,21),187
(14,0,53),188
(14,0,25),188
(14,0,21),188
(53,0,25),189
(53,0,21),189
(25,0,21),190
(44,7,14),192
(44,7,58),192
(44,7,61),192
(14,7,58),193
(14,7,61),193
(58,7,61),194
(40,61,20),196
(40,61,21),196
(40,61,25),196
(20,61,21),197
(20,61,25),197
(21,61,25),198
(40,14,55),200
(40,14,27),200
(40,14,63),200
(55,14,27),201
(55,14,63),201
(27,14,63),202
(50,25,51),204
(50,25,53),204
(50,25,63),204
(51,25,53),205
(51,25,63),205
(53,25,63),206
(41,63,51),208
(41,63,55),208
(41,63,58),208
(51,63,55),209
(51,63,58),209
(55,63,58),210
(20,58,21),212
(20,58,53),212
(21,58,53),213
(40,41,44),215
(40,41,53),215
(40,41,28),215
(44,41,53),216
(44,41,28),216
(53,41,28),217
(40,53,21),219
(40,53,29),219
(40,53,31),219
(21,53,29),220
(21,53,31),220
(29,53,31),221
(50,40,51),223
(50,40,27),223
(50,40,31),223
(51,40,27),224
(51,40,31),224
(27,40,31),225
(3,51,55),227
(3,51,31),227
(55,51,31),228
(44,55,20),230
(44,55,21),230
(20,55,21),231
(3,44,21),233
(3,44,27),233
(21,44,27),234
(2,3,47),236
(2,3,21),236
(47,3,21),237
(2,21,47),239
(2,20,47),241
(2,20,27),241
(47,20,27),242
(2,27,31),244
(28,2,50),246
(47,50,28),248
(47,50,29),248
(28,50,29),249
(29,47,31),251
(29,28,31),253
